log_text,location,category,severity,action_taken,date,"log_text,location,category,severity,action_taken,date"
Network issue at Lecture Hall A: access point not responding.,Lecture Hall A,Network,Medium,Reconfigured router,2024-03-14,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,Low,Replaced blower motor,2024-04-29,
HVAC issue at Sports Hall Court 2: making loud noise.,Sports Hall Court 2,HVAC,Low,Replaced blower motor,2024-03-14,
Plumbing issue at Engineering Block: sink clogged.,Engineering Block,Plumbing,High,Replaced pipe section,2024-04-12,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,Low,Replaced blower motor,2024-04-13,
Mechanical issue at Block C Restroom: door not closing properly.,Block C Restroom,Mechanical,Medium,Replaced worn relay,2024-03-21,
Network issue at Main Library: WiFi connectivity slow.,Main Library,Network,High,Updated firmware,2024-03-28,
Electrical issue at Admin Block: voltage instability.,Admin Block,Electrical,Medium,Reset circuit breaker,2024-04-12,
Network issue at Cafeteria: network latency high.,Cafeteria,Network,Low,Reconfigured router,2024-04-02,
Electrical issue at Sports Hall Court 2: lights flickering.,Sports Hall Court 2,Electrical,Medium,Reset circuit breaker,2024-03-29,
HVAC issue at Engineering Block: temperature fluctuating.,Engineering Block,HVAC,Low,Recharged refrigerant,2024-04-17,
Network issue at Block C Restroom: WiFi intermittent drop.,Block C Restroom,Network,High,Adjusted bandwidth settings,2024-06-18,
Plumbing issue at Sports Hall Court 1: sink clogged.,Sports Hall Court 1,Plumbing,Low,Replaced pipe section,2024-06-12,
Mechanical issue at Sports Hall Court 1: elevator stuck.,Sports Hall Court 1,Mechanical,Medium,Updated control firmware,2024-03-02,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,High,Inspected ductwork,2024-03-29,
Mechanical issue at Lecture Hall B: control panel unresponsive.,Lecture Hall B,Mechanical,Medium,Replaced worn relay,2024-04-20,
HVAC issue at Admin Block: not cooling properly.,Admin Block,HVAC,Low,Cleaned air filters,2024-03-25,
Plumbing issue at Block B Stairwell: toilet overflow.,Block B Stairwell,Plumbing,Medium,Sealed leaking joint,2024-04-27,
Network issue at Main Library: WiFi intermittent drop.,Main Library,Network,Low,Reconfigured router,2024-03-03,
HVAC issue at Admin Block: making loud noise.,Admin Block,HVAC,High,Replaced blower motor,2024-03-19,
Mechanical issue at Block C Restroom: motor overheating.,Block C Restroom,Mechanical,Medium,Updated control firmware,2024-03-19,
Plumbing issue at Block B Stairwell: pipe joint dripping.,Block B Stairwell,Plumbing,Medium,Sealed leaking joint,2024-04-14,
HVAC issue at Block C Restroom: making loud noise.,Block C Restroom,HVAC,High,Inspected ductwork,2024-04-06,
Plumbing issue at Sports Hall Court 2: slow drainage.,Sports Hall Court 2,Plumbing,Medium,Replaced pipe section,2024-06-12,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,Medium,Calibrated thermostat,2024-03-20,
Plumbing issue at Lecture Hall A: water leakage detected.,Lecture Hall A,Plumbing,Low,Cleaned drainage trap,2024-06-15,
Mechanical issue at Main Library: door not closing properly.,Main Library,Mechanical,Medium,Replaced worn relay,2024-03-13,
Electrical issue at Block C Restroom: circuit breaker tripped.,Block C Restroom,Electrical,Medium,Reset circuit breaker,2024-05-30,
Mechanical issue at Lecture Hall B: unusual vibration.,Lecture Hall B,Mechanical,Low,Updated control firmware,2024-03-11,
Plumbing issue at Block C Restroom: slow drainage.,Block C Restroom,Plumbing,Low,Cleaned drainage trap,2024-06-12,
Network issue at Main Library: access point not responding.,Main Library,Network,Low,Reconfigured router,2024-04-16,
Electrical issue at Block B Stairwell: lights flickering.,Block B Stairwell,Electrical,High,Replaced ballast,2024-06-22,
Network issue at Sports Hall Court 2: WiFi connectivity slow.,Sports Hall Court 2,Network,High,Adjusted bandwidth settings,2024-05-07,
Network issue at Cafeteria: access point not responding.,Cafeteria,Network,Medium,Replaced faulty switch,2024-05-01,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,Medium,Calibrated thermostat,2024-06-23,
HVAC issue at Engineering Block: not cooling properly.,Engineering Block,HVAC,Low,Replaced blower motor,2024-05-23,
Plumbing issue at Sports Hall Court 1: pipe joint dripping.,Sports Hall Court 1,Plumbing,High,Sealed leaking joint,2024-04-08,
Electrical issue at Block B Stairwell: lights flickering.,Block B Stairwell,Electrical,High,Inspected voltage supply,2024-05-02,
Network issue at Cafeteria: WiFi outage reported.,Cafeteria,Network,Medium,Reconfigured router,2024-04-07,
Electrical issue at Sports Hall Court 2: power outage.,Sports Hall Court 2,Electrical,Low,Replaced fuse,2024-06-15,
Mechanical issue at Lecture Hall A: elevator stuck.,Lecture Hall A,Mechanical,High,Recalibrated motor,2024-06-12,
Electrical issue at Lecture Hall A: power outage.,Lecture Hall A,Electrical,Medium,Rewired loose connection,2024-04-25,
Network issue at Main Library: access point not responding.,Main Library,Network,Medium,Replaced faulty switch,2024-05-05,
HVAC issue at Main Library: weak airflow.,Main Library,HVAC,High,Cleaned air filters,2024-05-24,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,Low,Recharged refrigerant,2024-04-16,
Network issue at Main Library: access point not responding.,Main Library,Network,High,Restarted access point,2024-06-21,
HVAC issue at Block C Restroom: not cooling properly.,Block C Restroom,HVAC,Low,Calibrated thermostat,2024-05-13,
Mechanical issue at Block C Restroom: elevator stuck.,Block C Restroom,Mechanical,Medium,Lubricated moving parts,2024-05-02,
Network issue at Block C Restroom: WiFi connectivity slow.,Block C Restroom,Network,Medium,Updated firmware,2024-04-17,
Mechanical issue at Admin Block: control panel unresponsive.,Admin Block,Mechanical,High,Lubricated moving parts,2024-06-10,
HVAC issue at Lecture Hall B: making loud noise.,Lecture Hall B,HVAC,Low,Recharged refrigerant,2024-03-23,
Electrical issue at Lecture Hall A: lights not turning on.,Lecture Hall A,Electrical,Medium,Replaced fuse,2024-05-09,
HVAC issue at Engineering Block: making loud noise.,Engineering Block,HVAC,High,Inspected ductwork,2024-06-15,
Electrical issue at Block C Restroom: lights not turning on.,Block C Restroom,Electrical,High,Replaced fuse,2024-03-01,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,Low,Recharged refrigerant,2024-03-18,
Mechanical issue at Sports Hall Court 2: control panel unresponsive.,Sports Hall Court 2,Mechanical,Medium,Reset control system,2024-04-04,
Network issue at Lecture Hall A: WiFi connectivity slow.,Lecture Hall A,Network,Low,Updated firmware,2024-03-14,
Plumbing issue at Lecture Hall B: water leakage detected.,Lecture Hall B,Plumbing,Medium,Sealed leaking joint,2024-03-02,
Electrical issue at Main Library: voltage instability.,Main Library,Electrical,Low,Rewired loose connection,2024-06-17,
Mechanical issue at Admin Block: motor overheating.,Admin Block,Mechanical,High,Lubricated moving parts,2024-04-28,
Plumbing issue at Block B Stairwell: water leakage detected.,Block B Stairwell,Plumbing,High,Cleared blockage,2024-05-17,
Network issue at Engineering Block: network latency high.,Engineering Block,Network,Low,Restarted access point,2024-03-30,
Mechanical issue at Lecture Hall B: elevator stuck.,Lecture Hall B,Mechanical,High,Recalibrated motor,2024-05-24,
HVAC issue at Block B Stairwell: emitting warm air.,Block B Stairwell,HVAC,Low,Recharged refrigerant,2024-03-21,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,High,Inspected ductwork,2024-06-13,
Plumbing issue at Lecture Hall A: water leakage detected.,Lecture Hall A,Plumbing,Low,Sealed leaking joint,2024-05-02,
Network issue at Main Library: WiFi intermittent drop.,Main Library,Network,Low,Replaced faulty switch,2024-05-13,
Mechanical issue at Engineering Block: elevator stuck.,Engineering Block,Mechanical,High,Replaced worn relay,2024-04-12,
Electrical issue at Engineering Block: lights flickering.,Engineering Block,Electrical,Low,Reset circuit breaker,2024-06-28,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,Medium,Rewired loose connection,2024-03-14,
Network issue at Cafeteria: access point not responding.,Cafeteria,Network,Low,Replaced faulty switch,2024-03-03,
HVAC issue at Sports Hall Court 2: emitting warm air.,Sports Hall Court 2,HVAC,Medium,Replaced blower motor,2024-04-25,
Mechanical issue at Block B Stairwell: door not closing properly.,Block B Stairwell,Mechanical,Low,Recalibrated motor,2024-03-08,
HVAC issue at Engineering Block: making loud noise.,Engineering Block,HVAC,Medium,Inspected ductwork,2024-06-25,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,Medium,Cleaned air filters,2024-05-27,
Electrical issue at Admin Block: voltage instability.,Admin Block,Electrical,High,Rewired loose connection,2024-05-10,
Plumbing issue at Block C Restroom: slow drainage.,Block C Restroom,Plumbing,Medium,Adjusted water valve,2024-06-17,
Network issue at Sports Hall Court 2: access point not responding.,Sports Hall Court 2,Network,High,Adjusted bandwidth settings,2024-05-06,
Network issue at Main Library: access point not responding.,Main Library,Network,High,Restarted access point,2024-03-04,
Mechanical issue at Sports Hall Court 2: control panel unresponsive.,Sports Hall Court 2,Mechanical,Low,Reset control system,2024-04-27,
Network issue at Block C Restroom: access point not responding.,Block C Restroom,Network,Low,Restarted access point,2024-06-11,
Electrical issue at Main Library: voltage instability.,Main Library,Electrical,Medium,Replaced ballast,2024-03-16,
Network issue at Lecture Hall A: WiFi intermittent drop.,Lecture Hall A,Network,Medium,Replaced faulty switch,2024-03-22,
Network issue at Block B Stairwell: network latency high.,Block B Stairwell,Network,Medium,Reconfigured router,2024-05-02,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,High,Replaced blower motor,2024-05-12,
Electrical issue at Admin Block: lights flickering.,Admin Block,Electrical,Low,Inspected voltage supply,2024-05-07,
Mechanical issue at Sports Hall Court 2: control panel unresponsive.,Sports Hall Court 2,Mechanical,High,Replaced worn relay,2024-05-22,
Network issue at Engineering Block: WiFi intermittent drop.,Engineering Block,Network,Medium,Adjusted bandwidth settings,2024-04-04,
Plumbing issue at Engineering Block: pipe joint dripping.,Engineering Block,Plumbing,Low,Adjusted water valve,2024-04-30,
Electrical issue at Block C Restroom: circuit breaker tripped.,Block C Restroom,Electrical,Medium,Rewired loose connection,2024-05-18,
Network issue at Main Library: WiFi outage reported.,Main Library,Network,Low,Reconfigured router,2024-04-17,
Plumbing issue at Lecture Hall A: toilet overflow.,Lecture Hall A,Plumbing,High,Replaced pipe section,2024-05-27,
Mechanical issue at Block B Stairwell: control panel unresponsive.,Block B Stairwell,Mechanical,Medium,Lubricated moving parts,2024-04-25,
Network issue at Main Library: WiFi connectivity slow.,Main Library,Network,Low,Adjusted bandwidth settings,2024-06-07,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,High,Inspected ductwork,2024-06-16,
Electrical issue at Lecture Hall B: lights flickering.,Lecture Hall B,Electrical,High,Rewired loose connection,2024-05-10,
Plumbing issue at Block B Stairwell: toilet overflow.,Block B Stairwell,Plumbing,Medium,Sealed leaking joint,2024-05-29,
HVAC issue at Sports Hall Court 2: not cooling properly.,Sports Hall Court 2,HVAC,High,Recharged refrigerant,2024-04-12,
Electrical issue at Block B Stairwell: circuit breaker tripped.,Block B Stairwell,Electrical,High,Inspected voltage supply,2024-05-22,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,Medium,Rewired loose connection,2024-05-17,
Plumbing issue at Cafeteria: slow drainage.,Cafeteria,Plumbing,Medium,Sealed leaking joint,2024-05-07,
HVAC issue at Sports Hall Court 2: emitting warm air.,Sports Hall Court 2,HVAC,Medium,Cleaned air filters,2024-03-16,
Network issue at Main Library: WiFi intermittent drop.,Main Library,Network,Medium,Adjusted bandwidth settings,2024-03-23,
Plumbing issue at Lecture Hall A: toilet overflow.,Lecture Hall A,Plumbing,Medium,Cleared blockage,2024-06-23,
HVAC issue at Lecture Hall A: temperature fluctuating.,Lecture Hall A,HVAC,High,Inspected ductwork,2024-05-27,
Plumbing issue at Admin Block: slow drainage.,Admin Block,Plumbing,High,Cleaned drainage trap,2024-05-14,
Electrical issue at Lecture Hall B: lights not turning on.,Lecture Hall B,Electrical,High,Inspected voltage supply,2024-05-05,
Electrical issue at Admin Block: lights not turning on.,Admin Block,Electrical,Medium,Rewired loose connection,2024-06-15,
Plumbing issue at Sports Hall Court 2: sink clogged.,Sports Hall Court 2,Plumbing,Low,Sealed leaking joint,2024-06-29,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,Low,Inspected voltage supply,2024-04-14,
Plumbing issue at Admin Block: sink clogged.,Admin Block,Plumbing,High,Sealed leaking joint,2024-05-10,
Plumbing issue at Sports Hall Court 1: sink clogged.,Sports Hall Court 1,Plumbing,High,Sealed leaking joint,2024-03-15,
Mechanical issue at Lecture Hall B: unusual vibration.,Lecture Hall B,Mechanical,Medium,Updated control firmware,2024-03-02,
Plumbing issue at Lecture Hall B: water leakage detected.,Lecture Hall B,Plumbing,Medium,Adjusted water valve,2024-03-17,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,Low,Cleaned air filters,2024-03-23,
Network issue at Block B Stairwell: WiFi intermittent drop.,Block B Stairwell,Network,High,Replaced faulty switch,2024-03-20,
HVAC issue at Block B Stairwell: not cooling properly.,Block B Stairwell,HVAC,Low,Inspected ductwork,2024-05-07,
Electrical issue at Cafeteria: lights flickering.,Cafeteria,Electrical,Low,Inspected voltage supply,2024-06-14,
Network issue at Sports Hall Court 2: network latency high.,Sports Hall Court 2,Network,Medium,Adjusted bandwidth settings,2024-04-12,
Mechanical issue at Block C Restroom: door not closing properly.,Block C Restroom,Mechanical,Low,Reset control system,2024-05-19,
HVAC issue at Sports Hall Court 1: emitting warm air.,Sports Hall Court 1,HVAC,Medium,Inspected ductwork,2024-05-03,
HVAC issue at Engineering Block: not cooling properly.,Engineering Block,HVAC,Medium,Replaced blower motor,2024-05-30,
HVAC issue at Lecture Hall B: weak airflow.,Lecture Hall B,HVAC,Medium,Recharged refrigerant,2024-03-14,
Mechanical issue at Main Library: door not closing properly.,Main Library,Mechanical,Medium,Replaced worn relay,2024-06-19,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,High,Recharged refrigerant,2024-04-14,
Plumbing issue at Engineering Block: toilet overflow.,Engineering Block,Plumbing,Low,Replaced pipe section,2024-04-25,
Network issue at Main Library: access point not responding.,Main Library,Network,Low,Adjusted bandwidth settings,2024-06-16,
Network issue at Sports Hall Court 1: network latency high.,Sports Hall Court 1,Network,High,Reconfigured router,2024-03-03,
Electrical issue at Block B Stairwell: power outage.,Block B Stairwell,Electrical,Medium,Replaced fuse,2024-06-09,
Electrical issue at Sports Hall Court 2: power outage.,Sports Hall Court 2,Electrical,Low,Replaced ballast,2024-06-19,
Electrical issue at Cafeteria: voltage instability.,Cafeteria,Electrical,Low,Reset circuit breaker,2024-03-28,
Electrical issue at Cafeteria: voltage instability.,Cafeteria,Electrical,Low,Rewired loose connection,2024-04-15,
Plumbing issue at Block B Stairwell: pipe joint dripping.,Block B Stairwell,Plumbing,High,Sealed leaking joint,2024-05-09,
Plumbing issue at Sports Hall Court 1: slow drainage.,Sports Hall Court 1,Plumbing,Medium,Cleared blockage,2024-03-02,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,Medium,Replaced blower motor,2024-04-29,
Plumbing issue at Sports Hall Court 1: toilet overflow.,Sports Hall Court 1,Plumbing,Medium,Cleaned drainage trap,2024-03-10,
Electrical issue at Lecture Hall A: circuit breaker tripped.,Lecture Hall A,Electrical,Medium,Inspected voltage supply,2024-05-15,
HVAC issue at Sports Hall Court 1: temperature fluctuating.,Sports Hall Court 1,HVAC,Medium,Recharged refrigerant,2024-05-02,
Network issue at Main Library: WiFi outage reported.,Main Library,Network,High,Adjusted bandwidth settings,2024-06-02,
Electrical issue at Lecture Hall A: lights not turning on.,Lecture Hall A,Electrical,High,Inspected voltage supply,2024-04-11,
Mechanical issue at Sports Hall Court 1: door not closing properly.,Sports Hall Court 1,Mechanical,Low,Lubricated moving parts,2024-03-13,
Electrical issue at Engineering Block: voltage instability.,Engineering Block,Electrical,Medium,Replaced ballast,2024-03-20,
Electrical issue at Cafeteria: lights flickering.,Cafeteria,Electrical,High,Reset circuit breaker,2024-06-24,
Network issue at Sports Hall Court 2: access point not responding.,Sports Hall Court 2,Network,Medium,Updated firmware,2024-05-26,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,High,Inspected ductwork,2024-05-13,
Mechanical issue at Block C Restroom: elevator stuck.,Block C Restroom,Mechanical,Low,Updated control firmware,2024-06-02,
Mechanical issue at Engineering Block: elevator stuck.,Engineering Block,Mechanical,Low,Reset control system,2024-06-21,
Mechanical issue at Sports Hall Court 2: door not closing properly.,Sports Hall Court 2,Mechanical,High,Reset control system,2024-06-13,
HVAC issue at Sports Hall Court 1: making loud noise.,Sports Hall Court 1,HVAC,Medium,Inspected ductwork,2024-05-25,
HVAC issue at Main Library: not cooling properly.,Main Library,HVAC,Low,Cleaned air filters,2024-05-12,
Network issue at Main Library: WiFi intermittent drop.,Main Library,Network,Low,Adjusted bandwidth settings,2024-05-27,
Mechanical issue at Sports Hall Court 1: motor overheating.,Sports Hall Court 1,Mechanical,Low,Reset control system,2024-03-03,
Network issue at Block C Restroom: WiFi outage reported.,Block C Restroom,Network,Medium,Updated firmware,2024-03-21,
HVAC issue at Sports Hall Court 1: weak airflow.,Sports Hall Court 1,HVAC,Low,Replaced blower motor,2024-04-05,
HVAC issue at Lecture Hall A: temperature fluctuating.,Lecture Hall A,HVAC,Low,Inspected ductwork,2024-04-02,
Network issue at Block C Restroom: access point not responding.,Block C Restroom,Network,Medium,Reconfigured router,2024-05-21,
Electrical issue at Lecture Hall B: voltage instability.,Lecture Hall B,Electrical,Medium,Inspected voltage supply,2024-06-28,
Network issue at Sports Hall Court 1: WiFi intermittent drop.,Sports Hall Court 1,Network,Medium,Restarted access point,2024-03-17,
Plumbing issue at Cafeteria: sink clogged.,Cafeteria,Plumbing,Medium,Replaced pipe section,2024-05-05,
Electrical issue at Sports Hall Court 2: lights flickering.,Sports Hall Court 2,Electrical,High,Rewired loose connection,2024-03-09,
Plumbing issue at Sports Hall Court 2: toilet overflow.,Sports Hall Court 2,Plumbing,Low,Cleared blockage,2024-06-05,
Mechanical issue at Admin Block: motor overheating.,Admin Block,Mechanical,Medium,Replaced worn relay,2024-06-22,
Network issue at Main Library: access point not responding.,Main Library,Network,Medium,Updated firmware,2024-05-11,
Mechanical issue at Sports Hall Court 2: door not closing properly.,Sports Hall Court 2,Mechanical,Medium,Replaced worn relay,2024-03-02,
HVAC issue at Lecture Hall A: temperature fluctuating.,Lecture Hall A,HVAC,Low,Calibrated thermostat,2024-03-31,
Electrical issue at Lecture Hall A: voltage instability.,Lecture Hall A,Electrical,Low,Replaced fuse,2024-04-23,
Mechanical issue at Block B Stairwell: elevator stuck.,Block B Stairwell,Mechanical,Medium,Updated control firmware,2024-03-06,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,High,Inspected voltage supply,2024-04-05,
Plumbing issue at Block B Stairwell: water leakage detected.,Block B Stairwell,Plumbing,High,Cleaned drainage trap,2024-04-02,
Electrical issue at Block C Restroom: voltage instability.,Block C Restroom,Electrical,High,Rewired loose connection,2024-04-27,
Electrical issue at Lecture Hall B: lights flickering.,Lecture Hall B,Electrical,Low,Replaced fuse,2024-06-15,
Network issue at Lecture Hall B: access point not responding.,Lecture Hall B,Network,Medium,Adjusted bandwidth settings,2024-04-12,
Network issue at Lecture Hall A: WiFi outage reported.,Lecture Hall A,Network,Medium,Reconfigured router,2024-06-07,
Network issue at Lecture Hall B: WiFi intermittent drop.,Lecture Hall B,Network,High,Adjusted bandwidth settings,2024-05-17,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,Medium,Calibrated thermostat,2024-03-21,
Electrical issue at Lecture Hall B: lights not turning on.,Lecture Hall B,Electrical,Low,Inspected voltage supply,2024-03-08,
HVAC issue at Sports Hall Court 2: weak airflow.,Sports Hall Court 2,HVAC,High,Recharged refrigerant,2024-04-06,
Mechanical issue at Engineering Block: elevator stuck.,Engineering Block,Mechanical,Low,Updated control firmware,2024-05-20,
Electrical issue at Block B Stairwell: lights flickering.,Block B Stairwell,Electrical,Medium,Replaced fuse,2024-04-11,
Network issue at Block B Stairwell: WiFi intermittent drop.,Block B Stairwell,Network,Medium,Restarted access point,2024-06-17,
HVAC issue at Sports Hall Court 1: weak airflow.,Sports Hall Court 1,HVAC,High,Replaced blower motor,2024-04-23,
HVAC issue at Sports Hall Court 2: making loud noise.,Sports Hall Court 2,HVAC,Low,Recharged refrigerant,2024-06-04,
Network issue at Engineering Block: WiFi connectivity slow.,Engineering Block,Network,Low,Restarted access point,2024-03-22,
Electrical issue at Sports Hall Court 2: lights not turning on.,Sports Hall Court 2,Electrical,Low,Reset circuit breaker,2024-06-19,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,Medium,Calibrated thermostat,2024-04-17,
Mechanical issue at Sports Hall Court 2: door not closing properly.,Sports Hall Court 2,Mechanical,Low,Replaced worn relay,2024-06-27,
Network issue at Main Library: access point not responding.,Main Library,Network,Low,Restarted access point,2024-05-08,
Plumbing issue at Lecture Hall B: sink clogged.,Lecture Hall B,Plumbing,High,Replaced pipe section,2024-05-25,
HVAC issue at Sports Hall Court 2: weak airflow.,Sports Hall Court 2,HVAC,High,Inspected ductwork,2024-06-02,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,High,Replaced fuse,2024-03-14,
Plumbing issue at Cafeteria: toilet overflow.,Cafeteria,Plumbing,Low,Replaced pipe section,2024-06-16,
Plumbing issue at Sports Hall Court 1: slow drainage.,Sports Hall Court 1,Plumbing,High,Replaced pipe section,2024-05-03,
Network issue at Sports Hall Court 1: WiFi intermittent drop.,Sports Hall Court 1,Network,Low,Updated firmware,2024-05-07,
HVAC issue at Cafeteria: making loud noise.,Cafeteria,HVAC,Medium,Replaced blower motor,2024-05-15,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,High,Inspected ductwork,2024-05-17,
Electrical issue at Block B Stairwell: lights flickering.,Block B Stairwell,Electrical,Medium,Replaced fuse,2024-05-30,
Mechanical issue at Cafeteria: door not closing properly.,Cafeteria,Mechanical,High,Recalibrated motor,2024-04-10,
Electrical issue at Sports Hall Court 1: lights flickering.,Sports Hall Court 1,Electrical,Low,Rewired loose connection,2024-04-11,
Network issue at Main Library: WiFi outage reported.,Main Library,Network,Low,Replaced faulty switch,2024-05-17,
Mechanical issue at Sports Hall Court 1: unusual vibration.,Sports Hall Court 1,Mechanical,Low,Lubricated moving parts,2024-04-17,
Plumbing issue at Cafeteria: water leakage detected.,Cafeteria,Plumbing,Low,Sealed leaking joint,2024-04-21,
Network issue at Main Library: network latency high.,Main Library,Network,High,Updated firmware,2024-04-14,
Plumbing issue at Lecture Hall A: sink clogged.,Lecture Hall A,Plumbing,High,Cleared blockage,2024-06-14,
HVAC issue at Lecture Hall B: weak airflow.,Lecture Hall B,HVAC,Medium,Recharged refrigerant,2024-03-23,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,High,Cleaned air filters,2024-06-05,
HVAC issue at Cafeteria: not cooling properly.,Cafeteria,HVAC,High,Inspected ductwork,2024-03-02,
Mechanical issue at Admin Block: motor overheating.,Admin Block,Mechanical,Low,Recalibrated motor,2024-05-06,
HVAC issue at Block C Restroom: weak airflow.,Block C Restroom,HVAC,High,Calibrated thermostat,2024-03-28,
Mechanical issue at Cafeteria: control panel unresponsive.,Cafeteria,Mechanical,Medium,Reset control system,2024-06-10,
Plumbing issue at Sports Hall Court 1: sink clogged.,Sports Hall Court 1,Plumbing,Medium,Adjusted water valve,2024-05-30,
Network issue at Main Library: network latency high.,Main Library,Network,High,Restarted access point,2024-06-26,
HVAC issue at Cafeteria: weak airflow.,Cafeteria,HVAC,Medium,Replaced blower motor,2024-06-26,
Mechanical issue at Sports Hall Court 2: unusual vibration.,Sports Hall Court 2,Mechanical,Medium,Replaced worn relay,2024-05-29,
Network issue at Main Library: WiFi outage reported.,Main Library,Network,Low,Restarted access point,2024-03-08,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,Medium,Calibrated thermostat,2024-05-20,
Plumbing issue at Lecture Hall B: sink clogged.,Lecture Hall B,Plumbing,Medium,Sealed leaking joint,2024-03-13,
Mechanical issue at Block B Stairwell: motor overheating.,Block B Stairwell,Mechanical,High,Lubricated moving parts,2024-06-24,
HVAC issue at Admin Block: not cooling properly.,Admin Block,HVAC,High,Replaced blower motor,2024-03-18,
Electrical issue at Admin Block: circuit breaker tripped.,Admin Block,Electrical,Low,Inspected voltage supply,2024-04-10,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,Medium,Inspected voltage supply,2024-03-18,
Electrical issue at Lecture Hall A: power outage.,Lecture Hall A,Electrical,Medium,Replaced fuse,2024-03-03,
HVAC issue at Block C Restroom: making loud noise.,Block C Restroom,HVAC,Low,Calibrated thermostat,2024-05-11,
Network issue at Main Library: access point not responding.,Main Library,Network,Medium,Replaced faulty switch,2024-05-09,
Electrical issue at Cafeteria: circuit breaker tripped.,Cafeteria,Electrical,Medium,Replaced ballast,2024-05-09,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,Medium,Replaced blower motor,2024-05-15,
Plumbing issue at Engineering Block: pipe joint dripping.,Engineering Block,Plumbing,Medium,Sealed leaking joint,2024-03-02,
Electrical issue at Admin Block: power outage.,Admin Block,Electrical,Medium,Inspected voltage supply,2024-06-23,
HVAC issue at Sports Hall Court 2: not cooling properly.,Sports Hall Court 2,HVAC,Medium,Replaced blower motor,2024-03-21,
Plumbing issue at Admin Block: water leakage detected.,Admin Block,Plumbing,Low,Cleaned drainage trap,2024-06-20,
Network issue at Sports Hall Court 2: WiFi connectivity slow.,Sports Hall Court 2,Network,Low,Adjusted bandwidth settings,2024-05-25,
Network issue at Sports Hall Court 2: access point not responding.,Sports Hall Court 2,Network,Medium,Updated firmware,2024-03-10,
Mechanical issue at Lecture Hall A: unusual vibration.,Lecture Hall A,Mechanical,Low,Replaced worn relay,2024-05-31,
Mechanical issue at Block B Stairwell: motor overheating.,Block B Stairwell,Mechanical,High,Recalibrated motor,2024-03-30,
HVAC issue at Main Library: emitting warm air.,Main Library,HVAC,High,Replaced blower motor,2024-03-10,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,High,Inspected ductwork,2024-05-07,
Electrical issue at Main Library: lights not turning on.,Main Library,Electrical,Low,Replaced ballast,2024-04-20,
Electrical issue at Lecture Hall A: voltage instability.,Lecture Hall A,Electrical,Medium,Inspected voltage supply,2024-04-15,
Mechanical issue at Lecture Hall A: elevator stuck.,Lecture Hall A,Mechanical,Low,Lubricated moving parts,2024-06-22,
Plumbing issue at Sports Hall Court 2: sink clogged.,Sports Hall Court 2,Plumbing,High,Replaced pipe section,2024-05-31,
Network issue at Cafeteria: WiFi connectivity slow.,Cafeteria,Network,Low,Adjusted bandwidth settings,2024-06-28,
Plumbing issue at Block B Stairwell: pipe joint dripping.,Block B Stairwell,Plumbing,High,Replaced pipe section,2024-04-19,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,Medium,Calibrated thermostat,2024-06-14,
Electrical issue at Lecture Hall A: power outage.,Lecture Hall A,Electrical,Medium,Reset circuit breaker,2024-03-18,
HVAC issue at Block B Stairwell: not cooling properly.,Block B Stairwell,HVAC,Medium,Inspected ductwork,2024-03-14,
